TimeStep,VarDate,Pac,Temperature,Vac
07:15,2015-05-04,139.73,22.6,210.94
07:20,2015-05-04,166.38,22.96,210.91
07:25,2015-05-04,186.59,23.2,210.69
07:30,2015-05-04,204.39,23.25,210.69
07:35,2015-05-04,225.84,23.74,210.76
07:40,2015-05-04,251.86,23.8,210.59
07:45,2015-05-04,272.28,24.32,210.41
07:50,2015-05-04,309.7,24.5,210.26
07:55,2015-05-04,336.21,24.79,210.03
08:00,2015-05-04,364.19,25.1,210.01
08:05,2015-05-04,399.27,25.43,210.17
08:10,2015-05-04,422.01,25.7,210.2
08:15,2015-05-04,449.01,26.17,210.36
08:20,2015-05-04,458.62,26.4,209.84
08:25,2015-05-04,478.91,26.58,209.87
08:30,2015-05-04,521.84,27,209.61
08:35,2015-05-04,579.51,27.35,209.54
08:40,2015-05-04,644.84,27.86,209.69
08:45,2015-05-04,664.47,28.29,209.91
08:50,2015-05-04,662.3,28.43,209.93
08:55,2015-05-04,684.78,28.87,209.86
09:00,2015-05-04,728.32,29.24,209.98
09:05,2015-05-04,750.48,29.5,210.07
09:10,2015-05-04,781.61,29.86,209.8
09:15,2015-05-04,809.72,30.09,209.69
09:20,2015-05-04,847.48,30.62,209.8
09:25,2015-05-04,867.12,30.8,209.96
09:30,2015-05-04,878.99,31.2,209.97
09:35,2015-05-04,946.32,31.5,209.92
09:40,2015-05-04,1012.38,31.99,209.87
09:45,2015-05-04,1079.09,32.61,209.83
09:50,2015-05-04,1158.15,33.1,210.05
09:55,2015-05-04,1261.77,33.68,210.27
10:00,2015-05-04,1336.54,34.32,209.84
10:05,2015-05-04,1455.86,35.13,209.91
10:10,2015-05-04,1604.83,36.08,209.94
10:15,2015-05-04,1620.87,36.74,209.91
10:20,2015-05-04,1683,37.34,209.88
10:25,2015-05-04,1744.23,37.98,209.76
10:30,2015-05-04,1847.86,38.62,209.69
10:35,2015-05-04,2078.19,39.84,209.66
10:40,2015-05-04,3512.92,44.36,210.21
10:45,2015-05-04,3804,48.94,210.42
10:50,2015-05-04,2400.01,46.87,210.51
10:55,2015-05-04,2085.9,45.08,210.46
11:00,2015-05-04,2953.16,45.98,210.86
11:05,2015-05-04,2753.66,48.66,210.75
11:10,2015-05-04,2655.46,47.86,210.82
11:15,2015-05-04,2808.92,48.13,211.04
11:20,2015-05-04,2828.43,49.29,210.95
11:25,2015-05-04,4674.05,55.37,211.64
11:30,2015-05-04,4833.14,59.34,211.7
11:35,2015-05-04,4286.54,59.62,211.39
11:40,2015-05-04,4745.86,61.86,211.51
11:45,2015-05-04,4651.5,63.03,211.46
11:50,2015-05-04,4444.9,64.14,211.42
11:55,2015-05-04,3347.47,59.63,211.04
12:00,2015-05-04,4253.88,63.02,211.35
12:05,2015-05-04,4810.81,65.28,211.44
12:10,2015-05-04,4753.89,66.84,211.44
12:15,2015-05-04,4957.19,68.42,211.56
12:20,2015-05-04,4391.65,67.48,211.4
12:25,2015-05-04,4585,67.97,211.44
12:30,2015-05-04,4118.14,66.05,211.26
12:35,2015-05-04,3717.05,60.66,211.13
12:40,2015-05-04,4230.85,58.36,211.33
12:45,2015-05-04,3995.65,57.58,211.31
12:50,2015-05-04,3397.47,57.37,211.11
12:55,2015-05-04,5072.99,63.48,211.79
13:00,2015-05-04,3649.38,61.87,211.32
13:05,2015-05-04,4931.79,66.25,211.62
13:10,2015-05-04,4549.04,67.07,211.58
13:15,2015-05-04,4654.95,68.3,211.36
13:20,2015-05-04,4741.88,69.28,211.38
13:25,2015-05-04,4592.51,69.62,211.2
13:30,2015-05-04,4642.77,67.53,211.25
13:35,2015-05-04,4600.94,64.3,211.17
13:40,2015-05-04,4578.15,62.32,211.05
13:45,2015-05-04,4561.46,61.26,210.99
13:50,2015-05-04,4553.77,60.26,211.11
13:55,2015-05-04,4525.74,59.57,211.1
14:00,2015-05-04,4496.7,58.91,211.25
14:05,2015-05-04,4468.58,58.39,211.4
14:10,2015-05-04,4464.35,58.07,211.6
14:15,2015-05-04,4426.22,57.79,211.4
